com.samsung.shealth.rewards,6123001,4
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2019-02-18 11:54:00.412,,,,2019-02-19 13:40:14.952,2019-02-18 11:54:00.479,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":85,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-02-18 11:54:00.412,da2354ad-d258-41ee-9265-86d0bbe85393,0,
,2019-06-21 04:47:34.671,,,,2019-06-22 05:25:34.201,2019-06-21 04:47:34.721,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":173,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-06-21 04:47:34.671,2f0c8842-fb4c-4ed4-872f-68b784430db7,0,
0,2019-02-02 00:00:00.000,,,,2019-02-25 20:37:31.148,2019-02-25 20:37:31.148,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-02 00:00:00.000,58334b09-3855-4b2f-bf7e-f961dfcd19b4,1,
,2019-01-29 20:09:01.749,,,,2019-01-31 12:39:17.610,2019-01-29 20:09:01.814,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":61,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-01-29 20:09:01.749,5356c118-a771-416a-b15e-a6e5c788124e,0,
0,2019-02-09 00:00:00.000,,,,2019-02-25 20:37:31.255,2019-02-25 20:37:31.255,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-09 00:00:00.000,04e0798b-7e89-4f01-b4a4-e597c88e5c01,1,
0,2019-02-04 00:00:00.000,,,,2019-02-25 20:37:31.162,2019-02-25 20:37:31.162,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-04 00:00:00.000,62e0edda-7273-4ed2-b5a4-5f61a686154f,1,
0,2019-02-15 00:00:00.000,,,,2019-02-25 20:37:31.376,2019-02-25 20:37:31.376,,,goal_nutrition_goal_achieved,UTC+0300,"2691.0,2691.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-15 00:00:00.000,afbd0135-0609-4c4c-88be-d6f73de1848c,1,
0,2019-02-21 00:00:00.000,,,,2019-02-25 20:37:31.503,2019-02-25 20:37:31.503,,,goal_nutrition_goal_achieved,UTC+0300,"2644.0,2644.0",lv82WtQZxZ,com.sec.android.app.shealth,goal.nutrition,2019-02-21 00:00:00.000,ac0e20af-00a2-46c6-805d-3bbd0f7ded39,1,
,2019-02-28 20:35:00.192,,,,2019-06-10 16:04:04.143,2019-02-28 15:34:59.039,,,goal_activity_reward_most_active_day,UTC+0300,"{""mIsCompleted"":false,""mValue"":102,""mValue2"":0}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-02-28 15:34:58.925,aeac1a3a-f585-42b2-ac28-36327ed42da1,0,
,2019-02-14 14:51:00.329,,,,2019-02-17 20:00:17.443,2019-02-14 14:51:00.385,,,goal_activity_reward_goal_achieved,UTC+0300,"{""mIsCompleted"":false,""mValue"":67,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-02-14 14:51:00.329,8ebd8f23-8bc3-4064-a8cc-c2672b7c74aa,0,
,2019-06-26 05:32:19.516,,,,2019-06-27 04:31:26.259,2019-06-26 05:32:19.541,,,goal_activity_reward_goal_achieved,UTC+0900,"{""mIsCompleted"":false,""mValue"":184,""mValue2"":60}",lv82WtQZxZ,com.sec.android.app.shealth,goal.activity,2019-06-26 05:32:19.516,77a5e271-efce-4618-b750-58965b75971b,0,
