com.samsung.health.nutrition,6123001,2
potassium,vitamin_a,vitamin_c,cholesterol,start_time,custom,sodium,dietary_fiber,total_fat,update_time,create_time,meal_type,monosaturated_fat,protein,polysaturated_fat,iron,sugar,title,calcium,calorie,time_offset,deviceuuid,saturated_fat,trans_fat,pkg_name,carbohydrate,datauuid
0.0,0.0,0.0,0.0,2019-02-11 06:00:00.000,,0.0,0.0,0.0,2019-02-11 06:01:05.228,2019-02-11 06:01:05.228,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,659f317e-1fe8-4f4d-99e4-f78a0cd5ee2b,
0.0,0.0,0.0,0.0,2019-02-09 16:00:00.000,,0.0,0.0,0.0,2019-02-09 16:01:00.788,2019-02-09 16:01:00.788,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,df822ec7-2a5e-47ea-9d4f-8982d9c6ee95,
0.0,0.0,0.0,0.0,2019-02-11 16:00:00.000,,0.0,0.0,0.0,2019-02-11 16:00:17.657,2019-02-11 16:00:17.657,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,fbde40d1-2015-407d-8f73-96b5a36d9e35,
0.0,0.0,0.0,0.0,2019-02-04 11:00:00.000,,0.0,0.0,0.0,2019-02-04 11:02:00.832,2019-02-04 11:02:00.832,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,4d98d327-a3ce-4fd0-bc0b-b9413313ae5a,
0.0,0.0,0.0,0.0,2019-02-13 06:00:00.000,,0.0,0.0,0.0,2019-02-13 06:00:14.159,2019-02-13 06:00:14.159,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,10e67638-c377-4df8-a1de-78a731a8ea0e,
0.0,0.0,0.0,0.0,2019-02-08 06:00:00.000,,0.0,0.0,0.0,2019-02-08 06:00:38.476,2019-02-08 06:00:38.476,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,8f37b98d-83d3-447a-b70f-94f552383ecb,
0.0,0.0,0.0,0.0,2019-02-13 16:00:00.000,,0.0,0.0,0.0,2019-02-13 16:00:52.230,2019-02-13 16:00:52.230,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,dc255ed4-9b3e-46ab-96e8-6a73e1f65d87,
0.0,0.0,0.0,0.0,2019-02-07 11:00:00.000,,0.0,0.0,0.0,2019-02-07 11:01:22.759,2019-02-07 11:01:22.759,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,d1133fa5-d1ed-4db4-a741-8413ffa508fa,
0.0,0.0,0.0,0.0,2019-02-06 11:00:00.000,,0.0,0.0,0.0,2019-02-06 11:02:32.852,2019-02-06 11:02:32.852,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,7b6cd6c3-1b45-406c-accd-d5ac05df6a2b,
0.0,0.0,0.0,0.0,2019-02-15 06:00:00.000,,0.0,0.0,0.0,2019-02-15 06:02:30.581,2019-02-15 06:02:30.581,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,19456bc7-c2a1-4648-b529-20a03ae11eaa,
0.0,0.0,0.0,0.0,2019-02-15 16:00:00.000,,0.0,0.0,0.0,2019-02-15 16:01:31.845,2019-02-15 16:01:31.845,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,9c96593f-76d6-4ca3-ba7e-feb6f13c65cd,
0.0,0.0,0.0,0.0,2019-02-10 06:00:00.000,,0.0,0.0,0.0,2019-02-10 06:00:18.632,2019-02-10 06:00:18.632,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,665f5da6-aefb-45d2-ac3d-8667dd0dd202,
0.0,0.0,0.0,0.0,2019-02-09 11:00:00.000,,0.0,0.0,0.0,2019-02-09 11:01:00.823,2019-02-09 11:01:00.823,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,d6f6e6ce-b722-4e3b-8a20-9aebdca61ab1,
0.0,0.0,0.0,0.0,2019-02-17 16:00:00.000,,0.0,0.0,0.0,2019-02-17 16:00:13.295,2019-02-17 16:00:13.295,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,c69757bd-2ae1-4f18-9cd4-c9548599bc57,
0.0,0.0,0.0,0.0,2019-02-08 11:00:00.000,,0.0,0.0,0.0,2019-02-08 11:02:48.886,2019-02-08 11:02:48.886,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,a1868af4-9e03-4827-bea6-d0a64a92d1fe,
0.0,0.0,0.0,0.0,2019-02-17 06:00:00.000,,0.0,0.0,0.0,2019-02-17 06:00:29.228,2019-02-17 06:00:29.228,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,b3377226-d8e2-47da-befc-ac0faf2f3b30,
0.0,0.0,0.0,0.0,2019-02-11 11:00:00.000,,0.0,0.0,0.0,2019-02-11 11:01:24.779,2019-02-11 11:01:24.779,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,003b26bf-ed6a-4adc-8478-f69727b121e2,
0.0,0.0,0.0,0.0,2019-02-19 06:00:00.000,,0.0,0.0,0.0,2019-02-19 06:00:25.677,2019-02-19 06:00:25.677,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,882.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,e3a35e16-b5af-4427-9b83-5a1bde21fb00,
0.0,0.0,0.0,0.0,2019-02-12 06:00:00.000,,0.0,0.0,0.0,2019-02-12 06:00:17.363,2019-02-12 06:00:17.363,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,918483a7-0f3c-457f-b06d-f5fdb9fd9ae9,
0.0,0.0,0.0,0.0,2019-02-10 11:00:00.000,,0.0,0.0,0.0,2019-02-10 11:01:00.795,2019-02-10 11:01:00.795,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,1e29d2ee-ec1a-4f50-9bc5-773fcbb5ecd5,
0.0,0.0,0.0,0.0,2019-02-19 16:00:00.000,,0.0,0.0,0.0,2019-02-19 16:01:48.557,2019-02-19 16:01:48.557,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,8fbf87e1-d79d-4ccb-a2e7-29cebb604d00,
0.0,0.0,0.0,0.0,2019-02-21 06:00:00.000,,0.0,0.0,0.0,2019-02-21 06:00:30.526,2019-02-21 06:00:30.526,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,882.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,f8c3a6f9-2c78-4ff7-a28a-1d06a1ed8e9c,
0.0,0.0,0.0,0.0,2019-02-14 06:00:00.000,,0.0,0.0,0.0,2019-02-14 06:01:09.758,2019-02-14 06:01:09.758,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,ec9cd5e6-d2c3-4bce-a6a6-11d3cf798e06,
0.0,0.0,0.0,0.0,2019-02-12 11:00:00.000,,0.0,0.0,0.0,2019-02-12 11:01:12.540,2019-02-12 11:01:12.540,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,52b6307e-ade9-48d8-8d46-1e90938b4d75,
0.0,0.0,0.0,0.0,2019-02-13 11:00:00.000,,0.0,0.0,0.0,2019-02-13 11:00:15.726,2019-02-13 11:00:15.726,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,16df82cc-c06c-45c8-946b-106b2f1a3a4c,
0.0,0.0,0.0,0.0,2019-02-21 16:00:00.000,,0.0,0.0,0.0,2019-02-21 16:03:18.094,2019-02-21 16:03:18.094,100003,0.0,0.0,0.0,0.0,0.0,العشاء,0.0,881.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,e06de558-fd6a-46d1-a61a-e31de384af37,
0.0,0.0,0.0,0.0,2019-02-23 06:00:00.000,,0.0,0.0,0.0,2019-02-23 06:00:21.877,2019-02-23 06:00:21.877,100001,0.0,0.0,0.0,0.0,0.0,الفطور,0.0,882.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,969bbd12-b465-47d8-9003-e75390c31dc1,
0.0,0.0,0.0,0.0,2019-02-15 11:00:00.000,,0.0,0.0,0.0,2019-02-15 11:00:00.829,2019-02-15 11:00:00.829,100002,0.0,0.0,0.0,0.0,0.0,الغداء,0.0,897.0,UTC+0300,lv82WtQZxZ,0.0,0.0,com.sec.android.app.shealth,0.0,10e92e9b-0183-41ea-8acb-f19b6f9a3606,
