com.samsung.shealth.step_daily_trend,6123001,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
6b0a34bb-4321-4dfa-a2af-ae0351fdc198.binning_data.json,2020-01-08 20:02:15.804,2020-01-08 20:02:15.804,com.sec.android.app.shealth,0,8363,4.2500005,6542.86,360.84998,lv82WtQZxZ,com.sec.android.app.shealth,6b0a34bb-4321-4dfa-a2af-ae0351fdc198,1550448000000,
bd55201b-0c45-40fc-9407-be74aa6513f2.binning_data.json,2020-01-08 20:02:15.817,2020-01-08 20:02:15.817,com.sec.android.app.shealth,0,3638,6.9444447,2914.62,168.32999,lv82WtQZxZ,com.sec.android.app.shealth,bd55201b-0c45-40fc-9407-be74aa6513f2,1551571200000,
c71aca0c-8f92-4dd3-ad34-9404054fcb3e.binning_data.json,2020-01-08 20:02:15.807,2020-01-08 20:02:15.807,com.sec.android.app.shealth,0,4488,5.5277777,3532.12,194.07999,lv82WtQZxZ,com.sec.android.app.shealth,c71aca0c-8f92-4dd3-ad34-9404054fcb3e,1550620800000,
90934f96-2d0e-42c2-834d-b261f5ebba64.binning_data.json,2020-01-08 20:02:15.809,2020-01-08 20:02:15.809,com.sec.android.app.shealth,0,1307,4.0833335,1059.26,61.28,lv82WtQZxZ,com.sec.android.app.shealth,90934f96-2d0e-42c2-834d-b261f5ebba64,1550793600000,
93e4f245-7470-4b35-ae81-c6b0632ecf31.binning_data.json,2020-01-08 20:02:15.822,2020-01-08 20:02:15.822,com.sec.android.app.shealth,0,3063,6.944445,2482.78,147.12999,lv82WtQZxZ,com.sec.android.app.shealth,93e4f245-7470-4b35-ae81-c6b0632ecf31,1552089600000,
66321cdd-094b-4af1-b48d-28764147ef1c.binning_data.json,2020-01-08 20:02:15.812,2020-01-08 20:02:15.812,com.sec.android.app.shealth,0,6506,4.6666665,5006.0,278.49997,lv82WtQZxZ,com.sec.android.app.shealth,66321cdd-094b-4af1-b48d-28764147ef1c,1551139200000,
1393ab5c-8190-475f-b611-f136f6e77dad.binning_data.json,2020-01-08 20:02:15.810,2020-01-08 20:02:15.810,com.sec.android.app.shealth,0,3343,6.9444447,2684.03,155.81999,lv82WtQZxZ,com.sec.android.app.shealth,1393ab5c-8190-475f-b611-f136f6e77dad,1550880000000,
6bf1c497-03aa-4bac-8b07-3ad5c13d3bfb.binning_data.json,2020-01-08 20:02:15.811,2020-01-08 20:02:15.811,com.sec.android.app.shealth,0,4652,3.4166667,3623.79,205.83998,lv82WtQZxZ,com.sec.android.app.shealth,6bf1c497-03aa-4bac-8b07-3ad5c13d3bfb,1550966400000,
f4886464-8a68-4bef-b223-66e1ac67ba96.binning_data.json,2020-01-08 20:02:15.818,2020-01-08 20:02:15.818,com.sec.android.app.shealth,0,5992,3.5833333,4555.98,253.10995,lv82WtQZxZ,com.sec.android.app.shealth,f4886464-8a68-4bef-b223-66e1ac67ba96,1551657600000,
463589f2-60ce-40b5-b17a-c8daa2240736.binning_data.json,2020-01-08 20:02:15.815,2020-01-08 20:02:15.815,com.sec.android.app.shealth,0,5047,4.0100265,4111.48,238.04999,lv82WtQZxZ,com.sec.android.app.shealth,463589f2-60ce-40b5-b17a-c8daa2240736,1551398400000,
9aa5cb63-7794-4573-af20-5d4d3dc56275.binning_data.json,2020-01-08 20:02:15.816,2020-01-08 20:02:15.816,com.sec.android.app.shealth,0,2042,5.5277777,1646.95,96.08,lv82WtQZxZ,com.sec.android.app.shealth,9aa5cb63-7794-4573-af20-5d4d3dc56275,1551484800000,
2f80599f-0765-4e82-9654-e21c8d2badcf.binning_data.json,2020-01-08 20:02:15.820,2020-01-08 20:02:15.820,com.sec.android.app.shealth,0,7146,4.3055553,5679.7603,329.11996,lv82WtQZxZ,com.sec.android.app.shealth,2f80599f-0765-4e82-9654-e21c8d2badcf,1551916800000,
d66e54c3-d8e2-413e-b4b9-d5463b41d476.binning_data.json,2020-01-08 20:02:15.828,2020-01-08 20:02:15.828,com.sec.android.app.shealth,0,5282,6.9444447,4214.9097,238.16997,lv82WtQZxZ,com.sec.android.app.shealth,d66e54c3-d8e2-413e-b4b9-d5463b41d476,1552608000000,
f2771fbe-c537-4534-a11c-8e519276c60c.binning_data.json,2020-01-08 20:02:15.823,2020-01-08 20:02:15.823,com.sec.android.app.shealth,0,6008,3.8888886,4612.8,257.37997,lv82WtQZxZ,com.sec.android.app.shealth,f2771fbe-c537-4534-a11c-8e519276c60c,1552176000000,
cfbd780e-8793-492f-8344-993e9412f0e6.binning_data.json,2020-01-08 20:02:15.814,2020-01-08 20:02:15.814,com.sec.android.app.shealth,0,9705,3.6388888,7492.3,421.79996,lv82WtQZxZ,com.sec.android.app.shealth,cfbd780e-8793-492f-8344-993e9412f0e6,1551312000000,
7c04ec70-c86a-4779-a920-c4d4e6832443.binning_data.json,2020-01-08 20:02:15.829,2020-01-08 20:02:15.829,com.sec.android.app.shealth,0,3302,6.4575987,2660.61,156.69,lv82WtQZxZ,com.sec.android.app.shealth,7c04ec70-c86a-4779-a920-c4d4e6832443,1552694400000,
ead12825-8ff5-4702-b59f-c3638df28536.binning_data.json,2020-01-08 20:02:15.821,2020-01-08 20:02:15.821,com.sec.android.app.shealth,0,4576,3.6388888,3602.95,201.20999,lv82WtQZxZ,com.sec.android.app.shealth,ead12825-8ff5-4702-b59f-c3638df28536,1552003200000,
2c40a897-8a4b-42e4-b322-c5fecedc0d00.binning_data.json,2020-01-08 20:02:15.826,2020-01-08 20:02:15.826,com.sec.android.app.shealth,0,3380,6.9444447,2708.82,157.21999,lv82WtQZxZ,com.sec.android.app.shealth,2c40a897-8a4b-42e4-b322-c5fecedc0d00,1552435200000,
174ae70c-32e3-4953-a2c9-b7da7fda57ea.binning_data.json,2020-01-08 20:02:15.819,2020-01-08 20:02:15.819,com.sec.android.app.shealth,0,3588,3.6495783,2857.48,165.02998,lv82WtQZxZ,com.sec.android.app.shealth,174ae70c-32e3-4953-a2c9-b7da7fda57ea,1551830400000,
d457ccf8-3e7f-4362-9183-489a7a2d7720.binning_data.json,2020-01-08 20:02:15.834,2020-01-08 20:02:15.834,com.sec.android.app.shealth,0,7347,5.5277777,5642.63,314.10995,lv82WtQZxZ,com.sec.android.app.shealth,d457ccf8-3e7f-4362-9183-489a7a2d7720,1553126400000,
1fa694fb-6238-4b28-8588-f4dbb13fb459.binning_data.json,2020-01-08 20:02:15.832,2020-01-08 20:02:15.832,com.sec.android.app.shealth,0,5841,4.288364,4578.65,262.79996,lv82WtQZxZ,com.sec.android.app.shealth,1fa694fb-6238-4b28-8588-f4dbb13fb459,1552953600000,
2d209356-cdc0-440d-a4e7-7e1c024e6c73.binning_data.json,2020-01-08 20:02:15.825,2020-01-08 20:02:15.825,com.sec.android.app.shealth,0,8514,6.944445,6607.65,374.48996,lv82WtQZxZ,com.sec.android.app.shealth,2d209356-cdc0-440d-a4e7-7e1c024e6c73,1552348800000,
64b3ad4f-ede3-48a7-ab98-d26e361c9d76.binning_data.json,2020-01-08 20:02:15.827,2020-01-08 20:02:15.827,com.sec.android.app.shealth,0,6878,4.0277777,5350.75,307.61996,lv82WtQZxZ,com.sec.android.app.shealth,64b3ad4f-ede3-48a7-ab98-d26e361c9d76,1552521600000,
e539e145-6e24-465d-9f68-5d2416f52298.binning_data.json,2020-01-08 20:02:15.835,2020-01-08 20:02:15.835,com.sec.android.app.shealth,0,5726,4.0833335,4536.74,256.41998,lv82WtQZxZ,com.sec.android.app.shealth,e539e145-6e24-465d-9f68-5d2416f52298,1553212800000,
7e1ac1ae-a724-4483-aa28-ccc264fd2720.binning_data.json,2020-01-08 20:02:15.831,2020-01-08 20:02:15.831,com.sec.android.app.shealth,0,6927,6.9444447,5411.13,305.41998,lv82WtQZxZ,com.sec.android.app.shealth,7e1ac1ae-a724-4483-aa28-ccc264fd2720,1552867200000,
45301eac-5407-4fb8-8481-0acad328d7f7.binning_data.json,2020-01-08 20:02:15.838,2020-01-08 20:02:15.838,com.sec.android.app.shealth,0,6620,4.528192,5136.36,289.85995,lv82WtQZxZ,com.sec.android.app.shealth,45301eac-5407-4fb8-8481-0acad328d7f7,1553472000000,
a285ae47-bb86-472f-8039-b44a6e1803b1.binning_data.json,2020-01-08 20:02:15.833,2020-01-08 20:02:15.833,com.sec.android.app.shealth,0,3438,3.6507251,2738.46,156.48999,lv82WtQZxZ,com.sec.android.app.shealth,a285ae47-bb86-472f-8039-b44a6e1803b1,1553040000000,
8ee24653-dcdd-4908-a2c8-011d192892ca.binning_data.json,2020-01-08 20:02:15.839,2020-01-08 20:02:15.839,com.sec.android.app.shealth,0,2544,6.9444447,2058.06,120.80999,lv82WtQZxZ,com.sec.android.app.shealth,8ee24653-dcdd-4908-a2c8-011d192892ca,1553644800000,
7065d6aa-25ce-46d0-bb51-e3dbe66b1e1a.binning_data.json,2020-01-08 20:02:15.837,2020-01-08 20:02:15.837,com.sec.android.app.shealth,0,5269,3.8888886,4100.56,232.61996,lv82WtQZxZ,com.sec.android.app.shealth,7065d6aa-25ce-46d0-bb51-e3dbe66b1e1a,1553385600000,
28777a50-9c1f-44b2-83d9-8d67219c8247.binning_data.json,2020-01-08 20:02:15.842,2020-01-08 20:02:15.842,com.sec.android.app.shealth,0,4351,6.9444447,3367.4402,190.67998,lv82WtQZxZ,com.sec.android.app.shealth,28777a50-9c1f-44b2-83d9-8d67219c8247,1553990400000,
a67172a2-3358-4307-a80c-acf03eb6d55f.binning_data.json,2020-01-08 20:02:15.841,2020-01-08 20:02:15.841,com.sec.android.app.shealth,0,2442,6.335139,1955.02,115.24999,lv82WtQZxZ,com.sec.android.app.shealth,a67172a2-3358-4307-a80c-acf03eb6d55f,1553904000000,
123761f3-edd1-445c-9e7e-4fb31643cabd.binning_data.json,2020-01-08 20:02:15.838,2020-01-08 20:02:15.838,com.sec.android.app.shealth,0,4452,4.185367,3453.26,198.60997,lv82WtQZxZ,com.sec.android.app.shealth,123761f3-edd1-445c-9e7e-4fb31643cabd,1553558400000,
a91b2d0a-1721-4c4d-a807-b2e6ef460cfd.binning_data.json,2020-01-08 20:02:15.843,2020-01-08 20:02:15.843,com.sec.android.app.shealth,0,2778,4.617396,2219.2,132.42,lv82WtQZxZ,com.sec.android.app.shealth,a91b2d0a-1721-4c4d-a807-b2e6ef460cfd,1554163200000,
060dd39e-f296-4bd3-a3fc-90f07118d1b9.binning_data.json,2020-01-08 20:02:15.840,2020-01-08 20:02:15.840,com.sec.android.app.shealth,0,8736,3.6388888,6813.7607,392.38995,lv82WtQZxZ,com.sec.android.app.shealth,060dd39e-f296-4bd3-a3fc-90f07118d1b9,1553731200000,
e9bc7dab-a705-4a67-9a30-b74b248adad3.binning_data.json,2020-01-08 20:02:15.844,2020-01-08 20:02:15.844,com.sec.android.app.shealth,0,2579,6.9444447,2043.3601,119.49999,lv82WtQZxZ,com.sec.android.app.shealth,e9bc7dab-a705-4a67-9a30-b74b248adad3,1554249600000,
d4861a14-baeb-4f6a-aaf7-b7e944564c01.binning_data.json,2020-01-08 20:02:15.847,2020-01-08 20:02:15.847,com.sec.android.app.shealth,0,3515,3.6388888,2821.8801,162.54999,lv82WtQZxZ,com.sec.android.app.shealth,d4861a14-baeb-4f6a-aaf7-b7e944564c01,1554508800000,
1a164c2a-6808-4250-93f7-76486f6f7658.binning_data.json,2020-01-08 20:02:15.848,2020-01-08 20:02:15.848,com.sec.android.app.shealth,0,5825,3.4718409,4469.92,250.29997,lv82WtQZxZ,com.sec.android.app.shealth,1a164c2a-6808-4250-93f7-76486f6f7658,1554681600000,
074adcc2-da86-411b-87f4-8ba7b1d9f4f8.binning_data.json,2020-01-08 20:02:15.849,2020-01-08 20:02:15.849,com.sec.android.app.shealth,0,5089,3.2222223,3901.52,219.18997,lv82WtQZxZ,com.sec.android.app.shealth,074adcc2-da86-411b-87f4-8ba7b1d9f4f8,1554768000000,
93d8fc73-5e15-418e-b5eb-f612d3d63298.binning_data.json,2020-01-08 20:02:15.843,2020-01-08 20:02:15.843,com.sec.android.app.shealth,0,6661,4.8688493,5225.06,298.36996,lv82WtQZxZ,com.sec.android.app.shealth,93d8fc73-5e15-418e-b5eb-f612d3d63298,1554076800000,
b1d839c7-d92c-42f0-8f81-76c44f444321.binning_data.json,2020-01-08 20:02:15.846,2020-01-08 20:02:15.846,com.sec.android.app.shealth,0,2288,4.5555553,1812.61,102.9,lv82WtQZxZ,com.sec.android.app.shealth,b1d839c7-d92c-42f0-8f81-76c44f444321,1554422400000,
1903c77e-af5f-4072-b343-408e23ff0795.binning_data.json,2020-01-08 20:02:15.855,2020-01-08 20:02:15.855,com.sec.android.app.shealth,0,3871,6.138888,3108.7,178.2,lv82WtQZxZ,com.sec.android.app.shealth,1903c77e-af5f-4072-b343-408e23ff0795,1555286400000,
d44c35ad-a6f1-4591-8f27-3967341ad5b0.binning_data.json,2020-01-08 20:02:15.852,2020-01-08 20:02:15.852,com.sec.android.app.shealth,0,2815,4.158754,2246.06,131.62999,lv82WtQZxZ,com.sec.android.app.shealth,d44c35ad-a6f1-4591-8f27-3967341ad5b0,1555027200000,
738732be-e417-456d-8629-ed41133151bf.binning_data.json,2020-01-08 20:02:15.860,2020-01-08 20:02:15.860,com.sec.android.app.shealth,0,5564,4.7777767,4385.18,247.71997,lv82WtQZxZ,com.sec.android.app.shealth,738732be-e417-456d-8629-ed41133151bf,1555804800000,
962e6c53-bf8e-4703-a1bf-b4d5ef76f16d.binning_data.json,2020-01-08 20:02:15.851,2020-01-08 20:02:15.851,com.sec.android.app.shealth,0,6033,5.5277777,4737.7603,275.14996,lv82WtQZxZ,com.sec.android.app.shealth,962e6c53-bf8e-4703-a1bf-b4d5ef76f16d,1554940800000,
ec876250-fe01-4b6c-afa4-1ac723873242.binning_data.json,2020-01-08 20:02:15.854,2020-01-08 20:02:15.854,com.sec.android.app.shealth,0,4934,6.183729,3880.49,219.34998,lv82WtQZxZ,com.sec.android.app.shealth,ec876250-fe01-4b6c-afa4-1ac723873242,1555200000000,
cd551cce-5567-4fad-bec6-9f8d52892909.binning_data.json,2020-01-08 20:02:15.857,2020-01-08 20:02:15.857,com.sec.android.app.shealth,0,2475,6.944445,1984.54,115.38999,lv82WtQZxZ,com.sec.android.app.shealth,cd551cce-5567-4fad-bec6-9f8d52892909,1555545600000,
312d4c7d-7c57-466a-87ad-9ab9876bdaeb.binning_data.json,2020-01-08 20:02:15.868,2020-01-08 20:02:15.868,com.sec.android.app.shealth,0,4449,6.946501,3568.79,206.53,lv82WtQZxZ,com.sec.android.app.shealth,312d4c7d-7c57-466a-87ad-9ab9876bdaeb,1556323200000,
18e7b48a-d40f-4368-8aa9-51168d37dc22.binning_data.json,2020-01-08 20:02:15.847,2020-01-08 20:02:15.847,com.sec.android.app.shealth,0,4399,6.9444447,3399.81,192.33997,lv82WtQZxZ,com.sec.android.app.shealth,18e7b48a-d40f-4368-8aa9-51168d37dc22,1554595200000,
52013df9-7d9b-4712-b95c-307c7e0d1f31.binning_data.json,2020-01-08 20:02:15.859,2020-01-08 20:02:15.859,com.sec.android.app.shealth,0,1557,5.138889,1259.12,74.82,lv82WtQZxZ,com.sec.android.app.shealth,52013df9-7d9b-4712-b95c-307c7e0d1f31,1555718400000,
2e18095c-65cb-48cd-a55f-7284b563329b.binning_data.json,2020-01-08 20:02:15.873,2020-01-08 20:02:15.873,com.sec.android.app.shealth,0,7042,6.9444447,5513.77,307.41998,lv82WtQZxZ,com.sec.android.app.shealth,2e18095c-65cb-48cd-a55f-7284b563329b,1556841600000,
a268db74-83fc-409c-b0fd-d5b2f1b565b6.binning_data.json,2020-01-08 20:02:15.863,2020-01-08 20:02:15.863,com.sec.android.app.shealth,0,4704,3.4166667,3673.87,202.40999,lv82WtQZxZ,com.sec.android.app.shealth,a268db74-83fc-409c-b0fd-d5b2f1b565b6,1556064000000,
0f27420c-13a2-4fc2-86ae-d6566354b235.binning_data.json,2020-01-08 20:02:15.853,2020-01-08 20:02:15.853,com.sec.android.app.shealth,0,3812,5.0,3055.6,177.84999,lv82WtQZxZ,com.sec.android.app.shealth,0f27420c-13a2-4fc2-86ae-d6566354b235,1555113600000,
301da526-b1c4-4d61-9b18-ed9f5352f8bc.binning_data.json,2020-01-08 20:02:15.856,2020-01-08 20:02:15.856,com.sec.android.app.shealth,0,2933,6.9444447,2312.82,131.54,lv82WtQZxZ,com.sec.android.app.shealth,301da526-b1c4-4d61-9b18-ed9f5352f8bc,1555459200000,
99d4a222-fa7b-4a4a-a909-f1b641d55964.binning_data.json,2020-01-08 20:02:15.878,2020-01-08 20:02:15.878,com.sec.android.app.shealth,0,5132,4.2367263,4057.22,228.60999,lv82WtQZxZ,com.sec.android.app.shealth,99d4a222-fa7b-4a4a-a909-f1b641d55964,1557360000000,
678eb659-7d05-44b4-b1fa-e86b84ced292.binning_data.json,2020-01-08 20:02:15.867,2020-01-08 20:02:15.867,com.sec.android.app.shealth,0,4659,4.341812,3657.9302,214.21997,lv82WtQZxZ,com.sec.android.app.shealth,678eb659-7d05-44b4-b1fa-e86b84ced292,1556236800000,
f5ca3370-ecd9-4b78-bfa9-55f2a4d3fe8d.binning_data.json,2020-01-08 20:02:15.858,2020-01-08 20:02:15.858,com.sec.android.app.shealth,0,4536,6.9444447,3552.47,201.51,lv82WtQZxZ,com.sec.android.app.shealth,f5ca3370-ecd9-4b78-bfa9-55f2a4d3fe8d,1555632000000,
cbacb37d-8516-4530-b8a9-3a7ed06f213f.binning_data.json,2020-01-08 20:02:15.864,2020-01-08 20:02:15.864,com.sec.android.app.shealth,0,5522,6.9444447,4264.91,237.37999,lv82WtQZxZ,com.sec.android.app.shealth,cbacb37d-8516-4530-b8a9-3a7ed06f213f,1556150400000,
67269b03-8c5c-4252-a75f-5ad027da0521.binning_data.json,2020-01-08 20:02:15.882,2020-01-08 20:02:15.882,com.sec.android.app.shealth,0,1139,5.6223855,932.45,55.89,lv82WtQZxZ,com.sec.android.app.shealth,67269b03-8c5c-4252-a75f-5ad027da0521,1557878400000,
5efa50f2-6d2c-41b7-acba-5475b755493d.binning_data.json,2020-01-08 20:02:15.862,2020-01-08 20:02:15.862,com.sec.android.app.shealth,0,4857,6.9444447,3819.73,219.77998,lv82WtQZxZ,com.sec.android.app.shealth,5efa50f2-6d2c-41b7-acba-5475b755493d,1555977600000,
a411d4b7-9c65-41c4-8741-7c8bdd93a044.binning_data.json,2020-01-08 20:02:15.871,2020-01-08 20:02:15.871,com.sec.android.app.shealth,0,4114,6.9444447,3321.6602,194.0,lv82WtQZxZ,com.sec.android.app.shealth,a411d4b7-9c65-41c4-8741-7c8bdd93a044,1556582400000,
0439506a-47d9-48b6-901f-7168fe36a0d6.binning_data.json,2020-01-08 20:02:15.872,2020-01-08 20:02:15.872,com.sec.android.app.shealth,0,7047,5.2483463,5552.01,308.52997,lv82WtQZxZ,com.sec.android.app.shealth,0439506a-47d9-48b6-901f-7168fe36a0d6,1556668800000,
690a3e57-b9d0-4984-a31d-f97bfd6243a0.binning_data.json,2020-01-08 20:02:15.871,2020-01-08 20:02:15.871,com.sec.android.app.shealth,0,6623,3.177321,5151.36,292.40997,lv82WtQZxZ,com.sec.android.app.shealth,690a3e57-b9d0-4984-a31d-f97bfd6243a0,1556496000000,
a74c744a-e62b-434d-b5ee-ef152c73d07b.binning_data.json,2020-01-08 20:02:15.873,2020-01-08 20:02:15.873,com.sec.android.app.shealth,0,4046,6.0062037,3239.02,184.78,lv82WtQZxZ,com.sec.android.app.shealth,a74c744a-e62b-434d-b5ee-ef152c73d07b,1556755200000,
114c6178-d6a8-4690-aa80-0f982a524938.binning_data.json,2020-01-08 20:02:15.886,2020-01-08 20:02:15.886,com.sec.android.app.shealth,0,3302,5.0833344,2649.11,151.79,lv82WtQZxZ,com.sec.android.app.shealth,114c6178-d6a8-4690-aa80-0f982a524938,1558396800000,
f574f721-b78c-4b3f-b742-f6217c7710cb.binning_data.json,2020-01-08 20:02:15.877,2020-01-08 20:02:15.877,com.sec.android.app.shealth,0,4224,3.8888886,3357.3901,192.31999,lv82WtQZxZ,com.sec.android.app.shealth,f574f721-b78c-4b3f-b742-f6217c7710cb,1557273600000,
721d5b3a-8ec0-4aa7-a2bb-29a6e5900772.binning_data.json,2020-01-08 20:02:15.875,2020-01-08 20:02:15.875,com.sec.android.app.shealth,0,3358,3.1944444,2692.26,156.26999,lv82WtQZxZ,com.sec.android.app.shealth,721d5b3a-8ec0-4aa7-a2bb-29a6e5900772,1557014400000,
1944c546-d0b8-4781-bad9-7e4063c534ae.binning_data.json,2020-01-08 20:02:15.876,2020-01-08 20:02:15.876,com.sec.android.app.shealth,0,3278,4.1892376,2589.04,148.07999,lv82WtQZxZ,com.sec.android.app.shealth,1944c546-d0b8-4781-bad9-7e4063c534ae,1557100800000,
29a81196-7b86-45aa-95a7-410e2e4b1e2b.binning_data.json,2020-01-08 20:02:15.891,2020-01-08 20:02:15.891,com.sec.android.app.shealth,0,3956,5.0,3179.6,183.12,lv82WtQZxZ,com.sec.android.app.shealth,29a81196-7b86-45aa-95a7-410e2e4b1e2b,1558915200000,
1ee19ba3-8ac5-4db2-b390-8ff02b933005.binning_data.json,2020-01-08 20:02:15.882,2020-01-08 20:02:15.882,com.sec.android.app.shealth,0,4044,6.9444447,3281.6602,191.61,lv82WtQZxZ,com.sec.android.app.shealth,1ee19ba3-8ac5-4db2-b390-8ff02b933005,1557792000000,
