com.samsung.health.food_intake,6123001,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2019-02-11 11:00:00.000,1.0,,2019-02-11 11:01:24.553,2019-02-11 11:01:24.553,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,06c3fe62-a3bb-48a4-868d-33e2ed12d943,meal_auto_filled,
2019-02-03 05:00:00.000,1.0,,2019-02-03 11:06:49.204,2019-02-03 11:06:49.204,100001,البيض المقلي,120001,89.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,a5e45d53-df86-4f3e-9851-48919dc9cb9c,c0fe947a-2334-462c-b209-54ed0532b126,
2019-02-13 11:00:00.000,1.0,,2019-02-13 11:00:15.579,2019-02-13 11:00:15.579,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,446c17b1-4175-4f38-8229-fb6097a47256,meal_auto_filled,
2019-02-15 11:00:00.000,1.0,,2019-02-15 11:00:00.577,2019-02-15 11:00:00.577,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,ade601ea-7c59-4cd7-b761-60b77d05f1ff,meal_auto_filled,
2019-02-05 06:00:00.000,1.0,,2019-02-05 06:35:20.831,2019-02-05 06:35:20.831,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,be86c902-6699-422d-8868-675038f00347,meal_auto_filled,
2019-02-07 06:00:00.000,1.0,,2019-02-07 06:02:37.798,2019-02-07 06:02:37.798,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,7dbd7091-b0b2-46f4-a0e9-99c8d7869c64,meal_auto_filled,
2019-02-09 06:00:00.000,1.0,,2019-02-09 06:01:23.016,2019-02-09 06:01:23.016,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,75b0e374-b74e-41bd-9075-d971e4885b11,meal_auto_filled,
2019-02-11 06:00:00.000,1.0,,2019-02-11 06:01:05.084,2019-02-11 06:01:05.084,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,dd49cfa7-5942-46f0-9141-a4a8f09f5946,meal_auto_filled,
2019-02-13 06:00:00.000,1.0,,2019-02-13 06:00:13.960,2019-02-13 06:00:13.960,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2527123f-1f10-4165-a6be-71e4ef3cb673,meal_auto_filled,
2019-02-17 11:00:00.000,1.0,,2019-02-17 11:01:58.406,2019-02-17 11:01:58.406,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,3c444004-c80f-44bb-9942-f0f52343461e,meal_auto_filled,
2019-02-15 06:00:00.000,1.0,,2019-02-15 06:02:30.467,2019-02-15 06:02:30.467,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,97e4d532-6e37-42cb-9d8c-65b7f32a4730,meal_auto_filled,
2019-02-19 11:00:00.000,1.0,,2019-02-19 11:00:11.171,2019-02-19 11:00:11.171,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,f75e7756-8eab-4078-a5b0-80cad5a14f9f,meal_auto_filled,
2019-02-17 06:00:00.000,1.0,,2019-02-17 06:00:28.789,2019-02-17 06:00:28.789,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b8d309bb-5152-409e-8a32-f8727e2185a9,meal_auto_filled,
2019-02-21 11:00:00.000,1.0,,2019-02-21 11:02:49.547,2019-02-21 11:02:49.547,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2bdcb341-6701-4817-a569-29320aa093a7,meal_auto_filled,
2019-02-19 06:00:00.000,1.0,,2019-02-19 06:00:25.403,2019-02-19 06:00:25.403,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,867693ca-f70e-4872-a8a6-b493a82bd37f,meal_auto_filled,
2019-02-23 11:00:00.000,1.0,,2019-02-23 11:00:56.873,2019-02-23 11:00:56.873,100002,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b19298a3-2600-4ef5-8e64-632befa145e4,meal_auto_filled,
2019-02-21 06:00:00.000,1.0,,2019-02-21 06:00:30.279,2019-02-21 06:00:30.279,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b6f2e284-c4d6-4694-a32b-a52523b41b3a,meal_auto_filled,
2019-02-23 06:00:00.000,1.0,,2019-02-23 06:00:21.592,2019-02-23 06:00:21.592,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,050f64b4-82a4-4d0a-8711-b8241fdbcd38,meal_auto_filled,
2019-02-25 11:00:00.000,1.0,,2019-02-25 11:00:13.424,2019-02-25 11:00:13.424,100002,,-1,889.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,aa35e048-07d4-4095-95dd-9a3ca1eee4c3,meal_auto_filled,
2019-02-27 06:00:00.000,1.0,,2019-02-27 07:17:59.563,2019-02-27 07:17:59.563,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,e484e5dd-35f8-49fb-a1ee-65b291cebc6a,meal_auto_filled,
2019-02-25 06:00:00.000,1.0,,2019-02-25 06:01:01.280,2019-02-25 06:01:01.280,100001,,-1,889.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,da4282aa-b8f9-4e84-8235-4b37bb196cd6,meal_auto_filled,
2019-03-01 06:00:00.000,1.0,,2019-03-01 06:03:00.653,2019-03-01 06:03:00.653,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,cc80494c-4b8a-44f8-942e-f605ecbada5d,meal_auto_filled,
2019-02-26 16:00:00.000,1.0,,2019-02-26 16:00:32.836,2019-02-26 16:00:32.836,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,4bca0e16-1bdb-4820-ace4-fde46fa62145,meal_auto_filled,
2019-03-03 06:00:00.000,1.0,,2019-03-03 06:00:48.520,2019-03-03 06:00:48.520,100001,,-1,847.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,48de6187-9ef3-462f-a777-7fb8842f9a06,meal_auto_filled,
2019-02-28 16:00:00.000,1.0,,2019-02-28 16:00:42.478,2019-02-28 16:00:42.478,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,3ad75ea8-d0f8-4549-b893-6160ded73ea0,meal_auto_filled,
2019-02-02 06:00:00.000,1.0,,2019-02-02 06:03:11.531,2019-02-02 06:03:11.531,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,e168f9a4-efc4-4535-9760-953e7d3b564f,meal_auto_filled,
2019-03-02 16:00:00.000,1.0,,2019-03-02 16:00:08.168,2019-03-02 16:00:08.168,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,d67e509a-8817-42c0-920e-c921c9e05e69,meal_auto_filled,
2019-02-03 16:00:00.000,1.0,,2019-02-03 16:00:24.023,2019-02-03 16:00:24.023,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,aa96a747-9aae-496f-b86d-407de04ffccb,meal_auto_filled,
2019-03-04 16:00:00.000,1.0,,2019-03-04 16:35:00.368,2019-03-04 16:35:00.368,100003,,-1,846.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,fb7234d2-0168-4fa1-b5f8-c21ed188da6d,meal_auto_filled,
2019-02-05 16:00:00.000,1.0,,2019-02-05 16:01:28.003,2019-02-05 16:01:28.003,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,a0d86bc0-d441-4c79-97d0-942e91d94ba8,meal_auto_filled,
2019-02-07 16:00:00.000,1.0,,2019-02-07 16:00:42.539,2019-02-07 16:00:42.539,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,42439b42-1621-4e08-a02c-041df3626f7c,meal_auto_filled,
2019-02-02 11:00:00.000,1.0,,2019-02-02 11:58:51.359,2019-02-02 11:58:51.359,100002,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,ccff9cf1-94f0-4cae-9cd0-9d36420f3f2b,meal_auto_filled,
2019-02-09 16:00:00.000,1.0,,2019-02-09 16:01:00.434,2019-02-09 16:01:00.434,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,c07dca5b-0ded-46c1-8ec9-92ffefd48c62,meal_auto_filled,
2019-02-04 06:00:00.000,1.0,,2019-02-04 06:01:38.829,2019-02-04 06:01:38.829,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b88218e2-d35b-4990-9414-e5b08cb14462,meal_auto_filled,
2019-02-06 06:00:00.000,1.0,,2019-02-06 06:01:10.956,2019-02-06 06:01:10.956,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,f5d09d9e-98c9-4f2e-9f60-e8f4a194571d,meal_auto_filled,
2019-02-11 16:00:00.000,1.0,,2019-02-11 16:00:17.453,2019-02-11 16:00:17.453,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b9bc4da1-992a-4529-ba36-08c87b3d14f4,meal_auto_filled,
2019-02-13 16:00:00.000,1.0,,2019-02-13 16:00:52.093,2019-02-13 16:00:52.093,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b40f57a5-8452-4309-b28f-836ab0ddb27f,meal_auto_filled,
2019-02-08 06:00:00.000,1.0,,2019-02-08 06:00:26.103,2019-02-08 06:00:26.103,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,7fdc0343-9e33-4e9a-89ce-b6067726bd5b,meal_auto_filled,
2019-02-10 06:00:00.000,1.0,,2019-02-10 06:00:18.513,2019-02-10 06:00:18.513,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2b3c7972-d59a-46af-992f-70d8cd112a76,meal_auto_filled,
2019-02-15 16:00:00.000,1.0,,2019-02-15 16:01:31.646,2019-02-15 16:01:31.646,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,9d189209-83eb-4efc-b15e-8fc01be26eed,meal_auto_filled,
2019-02-17 16:00:00.000,1.0,,2019-02-17 16:00:13.002,2019-02-17 16:00:13.002,100003,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,a7c56d55-5d1f-40a6-a81b-dae4a740f686,meal_auto_filled,
2019-02-12 06:00:00.000,1.0,,2019-02-12 06:00:17.224,2019-02-12 06:00:17.224,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,d91bf5d7-7464-44c3-bbc9-664e41bb3698,meal_auto_filled,
2019-02-14 06:00:00.000,1.0,,2019-02-14 06:01:09.589,2019-02-14 06:01:09.589,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,2b7c98ad-5010-4060-bfa4-4ff3a0dff220,meal_auto_filled,
2019-02-19 16:00:00.000,1.0,,2019-02-19 16:01:48.426,2019-02-19 16:01:48.426,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,9a1b7f91-6e16-498e-9786-6338576de572,meal_auto_filled,
2019-02-16 06:00:00.000,1.0,,2019-02-16 06:03:00.492,2019-02-16 06:03:00.492,100001,,-1,897.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,680fec7b-0b9e-4113-bb7f-2b327bda3376,meal_auto_filled,
2019-02-21 16:00:00.000,1.0,,2019-02-21 16:03:17.921,2019-02-21 16:03:17.921,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,ce9fcae1-3abd-4d76-b70c-45c08a2c0353,meal_auto_filled,
2019-02-23 16:00:00.000,1.0,,2019-02-23 16:00:39.572,2019-02-23 16:00:39.572,100003,,-1,881.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,52c974a6-0995-4607-999f-d47c99ace61e,meal_auto_filled,
2019-02-18 06:00:00.000,1.0,,2019-02-18 06:00:35.763,2019-02-18 06:00:35.763,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,579c68d7-9c11-4e7d-a501-d8b4970b1254,meal_auto_filled,
2019-02-20 06:00:00.000,1.0,,2019-02-20 06:01:39.505,2019-02-20 06:01:39.505,100001,,-1,882.0,UTC+0300,lv82WtQZxZ,,com.sec.android.app.shealth,b4ad5af8-3e8a-466b-b61f-008f06c6f1f1,meal_auto_filled,
