com.samsung.health.water_intake,6123001,5
start_time,amount,custom,update_time,create_time,time_offset,deviceuuid,unit_amount,comment,pkg_name,datauuid
2019-01-29 20:11:41.805,250.0,,2019-01-29 20:11:42.163,2019-01-29 20:11:42.163,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,ab8050ed-f7f7-425d-828e-6a40ad24fbd7,
2019-06-05 19:54:56.489,250.0,,2019-06-05 19:54:56.850,2019-06-05 19:54:56.850,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,2adaa66d-d36c-42d7-af97-ff26a60bd7b8,
2019-06-05 19:54:55.696,250.0,,2019-06-05 19:54:56.063,2019-06-05 19:54:56.063,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,107aa537-b0cb-4140-921e-fd033206cf6a,
2019-06-05 19:54:54.941,250.0,,2019-06-05 19:54:55.309,2019-06-05 19:54:55.309,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,15d8b6ea-1519-4d2a-b6c5-769cf3f06d20,
2019-06-05 19:54:52.563,250.0,,2019-06-05 19:54:52.932,2019-06-05 19:54:52.932,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,6334e9a4-1868-41d3-9338-0985aa7acbb0,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.105,2019-06-07 00:59:09.105,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,3a879471-cb31-4fde-a2bd-7a2cccf2de65,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.103,2019-06-07 00:59:09.103,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,9d8c3b38-fca9-41fb-a8f2-1935600e8a71,
2019-02-24 18:52:14.884,250.0,,2019-02-24 18:52:15.256,2019-02-24 18:52:15.256,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,a985857a-1317-4f9c-b7ab-0f86533d3716,
2019-06-05 19:55:13.070,250.0,,2019-06-05 19:55:13.431,2019-06-05 19:55:13.431,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,b89bdc4c-eba5-4800-a3d9-6ff513fb7aed,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.102,2019-06-07 00:59:09.102,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,13b97b2e-5617-4a2d-ab55-13167d9bd52d,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.106,2019-06-07 00:59:09.106,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,47691779-df45-4250-a3af-c143c3fa7111,
2019-06-05 19:54:57.410,250.0,,2019-06-05 19:54:57.771,2019-06-05 19:54:57.771,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,e3f5c157-c007-4918-bdf3-28a63595cc06,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.107,2019-06-07 00:59:09.107,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,baa81e39-c89d-4b9a-a977-8f3810f3c66a,
2019-06-05 19:54:47.631,250.0,,2019-06-05 19:54:47.991,2019-06-05 19:54:47.991,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,3cdf23f0-5864-42f9-a79e-d1b2e427f452,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.105,2019-06-07 00:59:09.105,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,ad550e46-9baf-4db5-a52c-149b5774ac0e,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.105,2019-06-07 00:59:09.105,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,0ead564c-7c38-4136-9027-755da38d266a,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.109,2019-06-07 00:59:09.109,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,3c32b046-fe0b-4127-9bef-9b681e4530e7,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.108,2019-06-07 00:59:09.108,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,34a5c83a-4132-4772-96cb-1374e9b02fd3,
2019-06-05 19:54:53.567,250.0,,2019-06-05 19:54:53.937,2019-06-05 19:54:53.937,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,508fffe7-0ca4-4864-853a-5df7c87e48dd,
2019-06-06 20:59:59.998,250.0,,2019-06-07 00:59:09.104,2019-06-07 00:59:09.104,UTC+0300,lv82WtQZxZ,250.0,,com.sec.android.app.shealth,aa02ad5c-823e-45e4-af69-9cd88b597a10,
