com.samsung.shealth.report,6123001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
Asia/Riyadh,1572210000000,2019-11-05 11:51:23.360,2019-11-05 11:51:20.889,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,4a666bb9-f5b7-4b62-83cb-1397acfd31d9,4a666bb9-f5b7-4b62-83cb-1397acfd31d9.compressed_content.json,
Asia/Riyadh,1600635600000,2020-09-28 11:49:20.180,2020-09-28 11:49:17.654,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2b2aa822-dd7c-4608-afce-c52738b3991c,2b2aa822-dd7c-4608-afce-c52738b3991c.compressed_content.json,
Asia/Riyadh,1575838800000,2019-12-16 11:52:53.431,2019-12-16 11:52:50.754,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,353b3612-2e82-47cf-b8aa-d3d7c07fe793,353b3612-2e82-47cf-b8aa-d3d7c07fe793.compressed_content.json,
Asia/Riyadh,1604264400000,2020-11-09 11:49:05.864,2020-11-09 11:49:03.339,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,30754886-7d47-4f33-8241-973172db220e,30754886-7d47-4f33-8241-973172db220e.compressed_content.json,
Asia/Riyadh,1579467600000,2020-01-27 11:49:04.134,2020-01-27 11:49:01.498,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,d4d8e0bc-0947-449c-afbb-d36ce13f6fef,d4d8e0bc-0947-449c-afbb-d36ce13f6fef.compressed_content.json,
Asia/Riyadh,1583096400000,2020-03-09 11:49:07.224,2020-03-09 11:49:03.696,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,2f2b81f5-8595-4c66-9d06-06d34d3865e4,2f2b81f5-8595-4c66-9d06-06d34d3865e4.compressed_content.json,
Asia/Riyadh,1549141200000,2019-02-16 11:49:34.260,2019-02-10 11:50:07.920,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,16e017c0-92f8-4478-9384-db8d35c1bfce,16e017c0-92f8-4478-9384-db8d35c1bfce.compressed_content.json,
Asia/Riyadh,1552770000000,2019-03-30 12:46:32.773,2019-03-24 11:49:03.555,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,76d8d140-986a-434c-a478-9f4a67a31ee6,76d8d140-986a-434c-a478-9f4a67a31ee6.compressed_content.json,
Asia/Riyadh,1586725200000,2020-04-20 11:49:16.292,2020-04-20 11:49:13.431,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,fbe11760-2f99-4251-9ea9-20394ca3482c,fbe11760-2f99-4251-9ea9-20394ca3482c.compressed_content.json,
Asia/Riyadh,1590354000000,2020-06-02 11:49:42.386,2020-06-02 11:49:40.155,0,0,2,lv82WtQZxZ,X,com.sec.android.app.shealth,91c248c7-10b5-48f1-8e1d-13acd9f22da7,91c248c7-10b5-48f1-8e1d-13acd9f22da7.compressed_content.json,
