com.samsung.shealth.exercise.weather,6123001,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2019-06-15 09:56:58.274,34.666237,,,Rain,0,1,WeatherNews_japan,2019-06-15 09:56:58.276,2019-06-15 09:56:58.276,1,135.51268,22.0,,UTC+0900,lv82WtQZxZ,c941cb65-6e28-4f07-9d9c-3d5876f417e7,com.sec.android.app.shealth,,0,,21,4c0b5bd6-dd3c-487a-9bb9-52c66dfe2b0d,
,0,2019-05-28 02:11:42.052,24.699945,,WSW. 250,Fair,0,1,TWC,2019-05-28 02:11:42.054,2019-05-28 02:11:42.054,1,46.676594,27.0,21,UTC+0300,lv82WtQZxZ,a11e6663-42bb-4ae2-9f15-64f79337aae8,com.sec.android.app.shealth,km/h,0,0.0,1,ecc0c1d2-e48a-4841-87b5-0031e4e8bd8d,
,0,2019-06-28 04:03:12.655,35.299538,,,Cloudy,0,1,WeatherNews_japan,2019-06-28 04:03:12.672,2019-06-28 04:03:12.672,1,139.48274,29.0,,UTC+0900,lv82WtQZxZ,9ac814dc-7218-4bbc-a612-4471cc56151d,com.sec.android.app.shealth,,0,,3,0e0c25d5-6364-491b-9800-4944a4be034f,
,0,2019-06-18 06:34:22.633,35.010334,,,Sunny,0,1,WeatherNews_japan,2019-06-18 06:34:22.637,2019-06-18 06:34:22.637,1,135.7678,27.0,,UTC+0900,lv82WtQZxZ,3ad55637-8f07-4012-9470-05ac65b2112e,com.sec.android.app.shealth,,0,,1,5579e369-da4e-4a1e-be9c-1b2ed5714be4,
,0,2019-07-03 08:36:49.050,35.70085,,,Cloudy,0,1,WeatherNews_japan,2019-07-03 08:36:49.053,2019-07-03 08:36:49.053,1,139.77142,24.0,,UTC+0900,lv82WtQZxZ,0d32b4ad-a472-42d7-974a-a6153da173eb,com.sec.android.app.shealth,,0,,3,c05e4b5d-687b-41f9-a7b3-e69010a75f5a,
,0,2019-07-04 10:58:50.768,35.676323,,,Clear,0,1,WeatherNews_japan,2019-07-04 10:58:50.770,2019-07-04 10:58:50.770,1,139.77003,21.0,,UTC+0900,lv82WtQZxZ,bf674b5d-c2d4-4d64-ba6a-7dd392a68d32,com.sec.android.app.shealth,,0,,18,af48b7c4-085c-4c79-bfe2-a6d4bec28e14,
,0,2019-06-29 02:16:05.361,35.689606,,,Cloudy,0,1,WeatherNews_japan,2019-06-29 02:16:05.366,2019-06-29 02:16:05.366,1,139.76761,21.0,,UTC+0900,lv82WtQZxZ,1d9f7b5a-6e2e-412d-b064-bd0339ef7b27,com.sec.android.app.shealth,,0,,3,52a345ca-adfc-4582-bce4-fc15c736b71f,
,0,2019-04-25 23:11:27.249,24.69994,,SE. 140,Fair,0,1,TWC,2019-04-25 23:11:27.254,2019-04-25 23:11:27.254,1,46.67657,19.0,27,UTC+0300,lv82WtQZxZ,1cf6f01c-c362-44cc-b7ef-1d809214b3a9,com.sec.android.app.shealth,km/h,0,3.0,18,79d5074b-88a1-4e1b-a7a6-25c150cf71e9,
,0,2019-07-04 13:10:21.879,35.66442,,,Cloudy,0,1,WeatherNews_japan,2019-07-04 13:10:21.881,2019-07-04 13:10:21.881,1,139.8582,21.0,,UTC+0900,lv82WtQZxZ,af0b5a88-9525-416a-a2fb-a3d94e582ab4,com.sec.android.app.shealth,,0,,3,f90a007f-fece-41fd-a774-10561f360ca7,
,0,2019-07-26 04:34:18.916,24.699915,,N. 10,Fair,0,1,TWC,2019-07-26 04:34:18.918,2019-07-26 04:34:18.918,1,46.676582,34.0,13,UTC+0300,lv82WtQZxZ,8d445481-4991-4537-a44f-13f4f5776be8,com.sec.android.app.shealth,km/h,0,5.0,1,865f0bd1-e4db-46f4-a3aa-cf15ec446ddc,
,0,2019-09-04 10:29:41.961,24.722027,,E. 80,Fair,0,1,TWC,2019-09-04 10:29:41.965,2019-09-04 10:29:41.965,1,46.617107,43.0,9,UTC+0300,lv82WtQZxZ,90f7a084-dd4b-4bbe-8741-cbab8d5f7578,com.sec.android.app.shealth,km/h,0,16.0,1,a138d74a-d95b-429b-893b-d81cbdbc8c41,
,0,2019-06-11 04:15:26.751,37.468433,,WNW. 290,Sunny,0,1,TWC,2019-06-11 04:15:26.756,2019-06-11 04:15:26.756,1,126.437744,21.0,49,UTC+0900,lv82WtQZxZ,9e725bdb-d724-428f-8f26-2aec77282ac0,com.sec.android.app.shealth,km/h,0,13.0,1,d6d55a19-ea45-498e-9d4d-b78155cd3605,
