com.samsung.shealth.calories_burned.details,6123001,1
version,extra_data,com.samsung.shealth.calories_burned.tef_calorie,com.samsung.shealth.calories_burned.active_time,com.samsung.shealth.calories_burned.rest_calorie,com.samsung.shealth.calories_burned.update_time,com.samsung.shealth.calories_burned.create_time,com.samsung.shealth.calories_burned.active_calorie,com.samsung.shealth.calories_burned.deviceuuid,com.samsung.shealth.calories_burned.pkg_name,com.samsung.shealth.calories_burned.datauuid,com.samsung.shealth.calories_burned.day_time
,e018dcf8-0dc9-4972-979c-874f414827ac.extra_data.json,0.0,0,1610.3641,2019-01-28 21:12:41.793,2019-01-28 21:12:41.793,0.0,lv82WtQZxZ,com.sec.android.app.shealth,e018dcf8-0dc9-4972-979c-874f414827ac,1546387200000,
,86b17897-2766-4ba0-bac0-ce178c0268c5.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.461,2019-01-28 21:12:42.023,0.0,lv82WtQZxZ,com.sec.android.app.shealth,86b17897-2766-4ba0-bac0-ce178c0268c5,1546905600000,
,8e2f55c5-c6c4-4ebc-97e9-ddc80220762d.extra_data.json,0.0,3713452,1803.2987,2019-02-01 12:39:04.708,2019-01-28 21:12:40.371,264.06998,lv82WtQZxZ,com.sec.android.app.shealth,8e2f55c5-c6c4-4ebc-97e9-ddc80220762d,1548720000000,
,7b2ca6c8-0669-4cbe-965f-b129c7364761.extra_data.json,0.0,0,1610.3641,2019-01-28 21:12:41.851,2019-01-28 21:12:41.851,0.0,lv82WtQZxZ,com.sec.android.app.shealth,7b2ca6c8-0669-4cbe-965f-b129c7364761,1546473600000,
,c641fc79-b29e-4acd-905f-3465951d23d1.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.521,2019-01-28 21:12:42.254,0.0,lv82WtQZxZ,com.sec.android.app.shealth,c641fc79-b29e-4acd-905f-3465951d23d1,1547424000000,
,a1cdf048-b228-4655-a755-a022b243f980.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.450,2019-01-28 21:12:41.986,0.0,lv82WtQZxZ,com.sec.android.app.shealth,a1cdf048-b228-4655-a755-a022b243f980,1546819200000,
,969b7bf8-3c8b-4140-a4c3-39eda2094cd3.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.467,2019-01-28 21:12:42.068,0.0,lv82WtQZxZ,com.sec.android.app.shealth,969b7bf8-3c8b-4140-a4c3-39eda2094cd3,1546992000000,
,3329b942-2ceb-4535-b02e-26bf565cefb5.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.576,2019-01-28 21:12:42.462,0.0,lv82WtQZxZ,com.sec.android.app.shealth,3329b942-2ceb-4535-b02e-26bf565cefb5,1547942400000,
,ab05d7cb-454c-4a57-ac99-6a51013b4b55.extra_data.json,0.0,0,1884.2849,2019-02-01 12:39:04.507,2019-01-28 21:12:42.228,0.0,lv82WtQZxZ,com.sec.android.app.shealth,ab05d7cb-454c-4a57-ac99-6a51013b4b55,1547337600000,
,78b1a6c5-31d2-44ce-87f4-9568aa23d222.extra_data.json,0.0,0,1844.0939,2019-02-19 09:31:41.016,2019-01-28 21:12:42.639,0.0,lv82WtQZxZ,com.sec.android.app.shealth,78b1a6c5-31d2-44ce-87f4-9568aa23d222,1548460800000,
