com.samsung.shealth.activity.day_summary,6123001,1
step_count,active_time,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
4043,2569251,0,2019-02-15 20:14:57.456,2019-02-14 21:00:00.721,60,240000,70,3338.7297,199.11,3d8f11a1-6ef8-4f4f-84a7-2b29d9699dbd.extra_data.json,lv82WtQZxZ,93189,com.sec.android.app.shealth,2476062,22920000,3d8f11a1-6ef8-4f4f-84a7-2b29d9699dbd,1550188800000,
6506,4124432,0,2019-02-26 20:55:01.501,2019-02-25 21:00:00.420,60,240000,113,5006.0,278.5001,224e99e5-451c-473a-b3c3-6c3a106a0abe.extra_data.json,lv82WtQZxZ,14743,com.sec.android.app.shealth,4109689,21480000,224e99e5-451c-473a-b3c3-6c3a106a0abe,1551139200000,
0,0,0,2019-01-28 21:12:41.629,2019-01-28 21:12:41.629,-1,0,0,0.0,0.0,ffb303f5-573f-4f01-973d-6d3cc77b8e85.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,ffb303f5-573f-4f01-973d-6d3cc77b8e85,1548374400000,
5895,3743142,0,2019-02-01 21:09:19.052,2019-01-31 21:00:00.602,60,300000,101,4708.1104,273.77994,9714eba5-d195-4cc7-ae73-6e35532c8140.extra_data.json,lv82WtQZxZ,57600,com.sec.android.app.shealth,3685542,27360000,9714eba5-d195-4cc7-ae73-6e35532c8140,1548979200000,
5992,3777209,0,2019-03-05 02:04:48.343,2019-03-03 21:00:00.457,60,360000,103,4555.98,253.11003,d9926bce-a7e7-4ab3-a9ed-e2b908c1c604.extra_data.json,lv82WtQZxZ,7521,com.sec.android.app.shealth,3769688,19260000,d9926bce-a7e7-4ab3-a9ed-e2b908c1c604,1551657600000,
7099,4447682,0,2019-02-22 11:17:49.899,2019-02-20 21:00:01.305,60,420000,121,5534.74,309.14993,9a068eb3-57da-4432-a268-0b96890224a1.extra_data.json,lv82WtQZxZ,57436,com.sec.android.app.shealth,4390246,23160000,9a068eb3-57da-4432-a268-0b96890224a1,1550707200000,
5846,3700893,0,2019-02-07 20:58:13.001,2019-02-06 21:00:00.991,60,240000,101,4568.969,260.07993,be1d142b-6394-4fca-ab20-38c82d5a3d07.extra_data.json,lv82WtQZxZ,37314,com.sec.android.app.shealth,3663579,25260000,be1d142b-6394-4fca-ab20-38c82d5a3d07,1549497600000,
6008,3768516,0,2019-03-10 20:42:04.708,2019-03-09 21:00:00.633,60,360000,103,4612.799,257.37997,89f4a242-f060-4ac0-9dee-759613d14e7e.extra_data.json,lv82WtQZxZ,25044,com.sec.android.app.shealth,3743472,21900000,89f4a242-f060-4ac0-9dee-759613d14e7e,1552176000000,
3298,2136400,0,2019-02-27 20:15:00.514,2019-02-26 21:00:00.418,60,180000,58,2657.7705,155.40996,3bc8afea-ace6-4f36-bca1-0159a8fb285d.extra_data.json,lv82WtQZxZ,29185,com.sec.android.app.shealth,2107215,19800000,3bc8afea-ace6-4f36-bca1-0159a8fb285d,1551225600000,
4302,2745140,0,2019-02-13 21:00:00.807,2019-02-12 21:00:00.919,60,240000,73,3437.4202,198.04993,2691cf55-168d-4fbe-b596-562de6a29f4d.extra_data.json,lv82WtQZxZ,45539,com.sec.android.app.shealth,2699601,27060000,2691cf55-168d-4fbe-b596-562de6a29f4d,1550016000000,
8337,5256155,0,2019-02-19 20:11:15.373,2019-02-18 21:00:00.514,60,240000,145,6510.673,361.88998,71c4b551-8099-46fe-93dd-47bcba379b75.extra_data.json,lv82WtQZxZ,67685,com.sec.android.app.shealth,5188470,25440000,71c4b551-8099-46fe-93dd-47bcba379b75,1550534400000,
0,0,0,2019-01-28 21:12:40.614,2019-01-28 21:12:40.614,-1,0,0,0.0,0.0,260470cf-bca2-4a3e-8b9c-c20cced9d901.extra_data.json,lv82WtQZxZ,0,com.sec.android.app.shealth,0,-1,260470cf-bca2-4a3e-8b9c-c20cced9d901,1546560000000,
8153,5019950,0,2019-02-25 21:00:00.894,2019-02-24 21:00:00.699,60,360000,138,6345.3604,353.3101,250b4b7f-5f97-42ad-9ff5-85d7a5d62a22.extra_data.json,lv82WtQZxZ,31051,com.sec.android.app.shealth,4988899,25200000,250b4b7f-5f97-42ad-9ff5-85d7a5d62a22,1551052800000,
3302,2172263,0,2019-03-16 20:54:59.412,2019-03-15 21:00:00.739,60,49358,58,2660.6086,156.69,b748d7da-599d-4a5b-9882-c162d269c6c4.extra_data.json,lv82WtQZxZ,45200,com.sec.android.app.shealth,2127063,27000000,b748d7da-599d-4a5b-9882-c162d269c6c4,1552694400000,
8559,5439156,0,2019-03-06 15:40:50.488,2019-03-04 21:00:00.461,60,360000,150,6718.97,384.04016,96ebdb48-f6a9-42b2-b20c-d0d3b144064a.extra_data.json,lv82WtQZxZ,70325,com.sec.android.app.shealth,5368831,7740000,96ebdb48-f6a9-42b2-b20c-d0d3b144064a,1551744000000,
3638,2321095,0,2019-03-03 20:16:01.547,2019-03-02 21:00:00.498,60,180000,63,2914.6196,168.32996,2408e6fc-a28a-4d08-901c-1f0b593630e9.extra_data.json,lv82WtQZxZ,36800,com.sec.android.app.shealth,2284295,23520000,2408e6fc-a28a-4d08-901c-1f0b593630e9,1551571200000,
