com.samsung.shealth.tracker.pedometer_day_summary,6123001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
4947,4b79d628-f417-49ee-9f75-8c120007d887.binning_data.json,2457523,4500,136,2019-02-09 21:00:06.547,com.sec.android.app.shealth,2019-02-07 21:40:47.472,4b79d628-f417-49ee-9f75-8c120007d887.source_info.json,1.6108375,3958.67,227.61,4811,VfS0qUERdZ,com.sec.android.app.shealth,0,4b79d628-f417-49ee-9f75-8c120007d887.achievement.json,4b79d628-f417-49ee-9f75-8c120007d887,1549584000000,
2857,f0cba517-7f95-4ec1-88bf-c873b7f3fac0.binning_data.json,1441512,4500,77,2019-02-05 21:05:11.483,com.sec.android.app.shealth,2019-02-05 21:00:03.614,,6.944443,2297.4001,135.70999,2780,lv82WtQZxZ,com.sec.android.app.shealth,0,f0cba517-7f95-4ec1-88bf-c873b7f3fac0.achievement.json,f0cba517-7f95-4ec1-88bf-c873b7f3fac0,1549324800000,
4302,e468a69a-5f70-4a50-a3a6-69c37372c66b.binning_data.json,2139871,4500,114,2019-02-13 21:00:06.622,com.sec.android.app.shealth,2019-02-13 21:00:06.622,,4.248703,3437.42,198.04999,4188,lv82WtQZxZ,com.sec.android.app.shealth,0,e468a69a-5f70-4a50-a3a6-69c37372c66b.achievement.json,e468a69a-5f70-4a50-a3a6-69c37372c66b,1550016000000,
4947,36ec6790-4120-4c18-893e-89d376dbdd14.binning_data.json,2457460,4500,136,2019-02-08 21:00:10.092,com.sec.android.app.shealth,2019-02-08 21:00:02.376,,4.2215767,3958.67,227.61,4811,lv82WtQZxZ,com.sec.android.app.shealth,0,36ec6790-4120-4c18-893e-89d376dbdd14.achievement.json,36ec6790-4120-4c18-893e-89d376dbdd14,1549584000000,
5530,0dc3ab7f-fb52-4976-9350-e3e68112072a.binning_data.json,2941792,4500,61,2019-02-11 21:00:03.158,com.sec.android.app.shealth,2019-02-11 21:00:03.158,,6.9444447,4281.77,241.88997,5469,lv82WtQZxZ,com.sec.android.app.shealth,0,0dc3ab7f-fb52-4976-9350-e3e68112072a.achievement.json,0dc3ab7f-fb52-4976-9350-e3e68112072a,1549843200000,
5530,3c9cf36c-b567-4a59-a8d4-27ec8ad7f8fb.binning_data.json,2941855,4500,61,2019-02-11 20:52:36.899,com.sec.android.app.shealth,2019-02-10 21:02:19.826,3c9cf36c-b567-4a59-a8d4-27ec8ad7f8fb.source_info.json,1.4554654,4281.77,241.88997,5469,VfS0qUERdZ,com.sec.android.app.shealth,0,3c9cf36c-b567-4a59-a8d4-27ec8ad7f8fb.achievement.json,3c9cf36c-b567-4a59-a8d4-27ec8ad7f8fb,1549843200000,
3891,4016d20d-8370-427c-aace-e2251ff9cef4.binning_data.json,1970555,4500,63,2019-02-17 21:00:03.681,com.sec.android.app.shealth,2019-02-16 21:00:02.139,,6.9444447,3101.6,181.81999,3828,lv82WtQZxZ,com.sec.android.app.shealth,0,4016d20d-8370-427c-aace-e2251ff9cef4.achievement.json,4016d20d-8370-427c-aace-e2251ff9cef4,1550275200000,
6484,1d48ba6b-dec5-4330-86c5-d79218593f6b.binning_data.json,3458606,4500,117,2019-02-17 21:00:03.868,com.sec.android.app.shealth,2019-02-14 21:00:02.880,,3.0,5011.85,288.49997,6367,lv82WtQZxZ,com.sec.android.app.shealth,0,1d48ba6b-dec5-4330-86c5-d79218593f6b.achievement.json,1d48ba6b-dec5-4330-86c5-d79218593f6b,1550102400000,
6021,3c27162d-0553-463f-99cb-c303434b6e79.binning_data.json,3183278,4500,70,2019-02-17 21:00:04.027,com.sec.android.app.shealth,2019-02-17 21:00:04.027,,5.6197114,4669.52,264.09,5951,lv82WtQZxZ,com.sec.android.app.shealth,0,3c27162d-0553-463f-99cb-c303434b6e79.achievement.json,3c27162d-0553-463f-99cb-c303434b6e79,1550361600000,
5313,6accca26-fd56-4645-84df-e5f399eb60ab.binning_data.json,2741602,4500,70,2019-02-10 20:54:58.793,com.sec.android.app.shealth,2019-02-09 21:00:52.090,6accca26-fd56-4645-84df-e5f399eb60ab.source_info.json,1.5249218,4180.73,236.7,5243,VfS0qUERdZ,com.sec.android.app.shealth,0,6accca26-fd56-4645-84df-e5f399eb60ab.achievement.json,6accca26-fd56-4645-84df-e5f399eb60ab,1549756800000,
