com.samsung.shealth.tracker.pedometer_step_count,6123001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
13526,4,0,36,2020-11-07 06:20:00.000,,,2020-11-07 06:22:24.504,2020-11-07 06:22:24.504,36,2.2777777,30.81,1.65,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 06:21:00.000,6dfe37dd-2d36-401b-9c4e-3dc14f21c3c4,
9643,4,0,18,2020-11-06 21:34:00.000,,,2020-11-06 21:35:01.108,2020-11-06 21:34:08.475,18,1.4185159,13.68,0.74,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-06 21:35:00.000,9dacd98d-9754-4ba1-959e-0f2d9e02d8b7,
31786,4,1,63,2020-11-07 06:21:00.000,,,2020-11-07 06:22:24.675,2020-11-07 06:22:24.675,64,1.6944444,53.86,3.06,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 06:22:00.000,66c87468-a82a-4d8a-b57b-25baed76ed98,
4812,4,0,9,2020-11-07 09:19:00.000,,,2020-11-07 09:19:56.456,2020-11-07 09:19:54.523,9,1.4024884,6.75,0.36999997,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:20:00.000,5960243d-0ccb-4344-b527-83870aa91e45,
12537,4,0,24,2020-11-07 05:34:00.000,,,2020-11-07 05:35:00.238,2020-11-07 05:35:00.238,24,1.6111112,20.2,1.19,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 05:35:00.000,6da06818-d15d-444b-ab93-7822ef743098,
11037,4,0,20,2020-11-07 04:57:00.000,,,2020-11-07 04:57:53.241,2020-11-07 04:57:53.241,20,1.3055556,14.41,0.85,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 04:58:00.000,1a35d96e-e7ca-42b7-bd84-bbeb479a504a,
26598,4,0,49,2020-11-07 10:24:00.000,,,2020-11-07 10:25:01.246,2020-11-07 10:24:34.333,49,1.4662346,39.000004,2.2499993,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:25:00.000,fcf2c5f5-ea06-47ce-984a-ba839520bdec,
18978,4,1,40,2020-11-07 09:29:00.000,,,2020-11-07 09:35:00.171,2020-11-07 09:35:00.171,41,1.7777778,33.74,1.93,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:30:00.000,a1975dbe-f96b-4308-8e7b-c1da5b7117ab,
16895,4,0,31,2020-11-07 09:20:00.000,,,2020-11-07 09:20:29.829,2020-11-07 09:20:09.076,31,1.4612976,24.690002,1.4399998,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 09:21:00.000,c7be2d88-4485-45c9-aa02-be8622e21f41,
2179,4,0,6,2020-11-07 10:21:00.000,,,2020-11-07 10:21:30.406,2020-11-07 10:21:30.406,6,3.0555556,6.66,0.56,UTC+0300,lv82WtQZxZ,com.sec.android.app.shealth,2020-11-07 10:22:00.000,18ccb662-f492-4593-adbc-33f061dafa3a,
